jp,en,tag,context,keywords,verified
充電できます,Charging stations available,Hotel,コンセント開放の案内に。,"充電できます, Charging stations available, じゅうでん, battery, charge, コンセント, 電源, outlet, plug, USB",TRUE
お名前をご記入ください,Please write your name here,Hotel,ウェイティングリストの記入依頼に。,"お名前をご記入ください, Please write your name here, なまえ, write, name, sign, check-in, 署名, 記名",TRUE
パスポートを見せてください,May I see your passport?,Hotel,宿泊台帳や免税の手続きに。,"パスポートを見せてください, May I see your passport?, passport, ID, 旅券, 見せる, show, identification, 身分証",TRUE
Wi-Fiパスワードはこちら,Wi-Fi password is here,Hotel,ネット環境の案内に。,"Wi-Fiパスワードはこちら, Wi-Fi password is here, wifi, internet, password, ネット, 接続, パスワード, SSID",TRUE
チェックアウトは何時ですか？,What time is the check-out?,Hotel,時間の確認に。,"チェックアウトは何時ですか？, What time is the check-out?, check-out, 出発, 時間, time, 鍵, key, 延長, 何時",TRUE
荷物を預けられますか？,Can I leave my luggage here?,Hotel,クロークサービスの案内に。,"荷物を預けられますか？, Can I leave my luggage here?, baggage, luggage, 預かり, クローク, カバン, keep, storage, cloak",TRUE
予約していますか？,Do you have a reservation?,Hotel,受付での最初の確認に。,"予約していますか？, Do you have a reservation?, reservation, booking, アポ, 確認, confirm",TRUE
お名前を教えてください,"May I have your name, please?",Hotel,予約確認の際に。,"お名前を教えてください, May I have your name, please?, なまえ, write, name, sign, check-in, 署名, 記名",TRUE
エレベーターはあちらです,The elevator is over there,Hotel,館内案内に。,"エレベーターはあちらです, The elevator is over there",TRUE
朝食は___時からです,Breakfast starts at ___AM,Hotel,食事時間の説明に。,"朝食は___時からです, Breakfast starts at ___AM, breakfast, ご飯, モーニング, morning, 食事, 券",TRUE
外出時は鍵を預けてください,Please leave your key at the desk before leaving,Hotel,外出時のルールに。,"外出時は鍵を預けてください, Please leave your key at the desk before leaving",TRUE
大浴場,Public bath,Hotel,旅館やホテルの案内に。,"大浴場, Public bath, bath, onsen, hot spring, spa, お湯, タトゥー, 入れ墨",TRUE
露天風呂,Open-air bath,Hotel,温泉の案内に。,"露天風呂, Open-air bath, bath, onsen, hot spring, spa, お湯, タトゥー, 入れ墨",TRUE
かけ湯をしてください,Please rinse before entering,Hotel,温泉のマナー説明に。,"かけ湯をしてください, Please rinse before entering",TRUE
タオル持参,Please bring your own towel,Hotel,銭湯などの案内に。,"タオル持参, Please bring your own towel",TRUE
刺青お断り,No tattoos allowed,Hotel,公共浴場のルールに。,"刺青お断り, No tattoos allowed",TRUE
サウナ,Sauna,Hotel,設備の案内に。,"サウナ, Sauna",TRUE
貸切風呂,Private bath,Hotel,家族風呂などの案内に。,"貸切風呂, Private bath, bath, onsen, hot spring, spa, お湯, タトゥー, 入れ墨",TRUE
門限,Curfew,Hotel,夜間の入館制限に。,"門限, Curfew",TRUE
門限は___時です,The curfew is ___PM,Hotel,具体的な時間の案内に。,"門限は___時です, The curfew is ___PM",TRUE
全館禁煙,No smoking throughout the building,Hotel,建物全体のルールに。,"全館禁煙, No smoking throughout the building",TRUE
またお越しください,We hope to see you again,Hotel,お見送りの挨拶に。,"またお越しください, We hope to see you again",TRUE
良い旅を！,Have a nice trip!,Hotel,最後に一言添える時に。,"良い旅を！, Have a nice trip!",TRUE
フロントは24時間対応です,Front desk open 24 hours,Hotel,フロントの案内に。,"フロントは24時間対応です, Front desk open 24 hours",TRUE
レイトチェックアウト可能です,Late check-out available,Hotel,対応にオプションがあります。,"レイトチェックアウト可能です, Late check-out available, check-out, 出発, 時間, time, 鍵, key, 延長, 何時",TRUE
アーリーチェックイン可能です,Early check-in available,Hotel,利用にはオプションをお求めください。,"アーリーチェックイン可能です, Early check-in available, check-in, 到着, 部屋, room, arrive",TRUE
ランドリーサービスがあります,Laundry service available,Hotel,ランドリー・サービスの案内に。,"ランドリーサービスがあります, Laundry service available",TRUE
ルームサービスをご利用いただけます,Room service available,Hotel,お部屋での注文に対応します。,"ルームサービスをご利用いただけます, Room service available",TRUE
モーニングコール承ります,Wake-up call service,Hotel,時間の予約について。,"モーニングコール承ります, Wake-up call service",TRUE
ハウスキーピングを行っています,Daily housekeeping,Hotel,清掃に関する案内に。,"ハウスキーピングを行っています, Daily housekeeping",TRUE
起こさないでください,Do Not Disturb,Hotel,客室ドアの表示に。,"起こさないでください, Do Not Disturb",TRUE
禁煙ルーム利用可能です,Non-smoking rooms available,Hotel,部屋のタイプ案内に。,"禁煙ルーム利用可能です, Non-smoking rooms available",TRUE
喫煙ルームもあります,Smoking rooms available,Hotel,喫煙室の案内に。,"喫煙ルームもあります, Smoking rooms available",TRUE
バリアフリー対応です,Accessible rooms available,Hotel,設備の案内に。,"バリアフリー対応です, Accessible rooms available",TRUE
ベビーベッドをご用意できます,Baby crib available,Hotel,小児用の備品案内に。,"ベビーベッドをご用意できます, Baby crib available",TRUE
ペット同伴可（要事前確認）,Pet-friendly rooms (on request),Hotel,事前にご連絡ください。,"ペット同伴可（要事前確認）, Pet-friendly rooms (on request)",TRUE
駐車場あり,Parking available,Hotel,駐車場の案内に。,"駐車場あり, Parking available",TRUE
バレットパーキング対応,Valet parking available,Hotel,設備オプションに。,"バレットパーキング対応, Valet parking available",TRUE
レンタサイクルあります,Bicycle rental,Hotel,スポーツ・レクリエーションに。,"レンタサイクルあります, Bicycle rental",TRUE
シャトルサービスがあります,Shuttle service available,Hotel,送迎サービスの案内に。,"シャトルサービスがあります, Shuttle service available",TRUE
空港シャトルサービスあり,Airport shuttle service,Hotel,予約についてはデスクに詳しく。,"空港シャトルサービスあり, Airport shuttle service",TRUE
コンシェルジュがいます,Concierge available,Hotel,観光の手配に。,"コンシェルジュがいます, Concierge available",TRUE
外貨両替可能です,Currency exchange available,Hotel,両替の案内に。,"外貨両替可能です, Currency exchange available",TRUE
タトゥー隠しシールあります,Tattoo cover stickers available,Hotel,温泉利用時のマナーに関する案内に。,"タトゥー隠しシールあります, Tattoo cover stickers available, tattoo, 刺青, カバーシール, sticker, hide",TRUE
浴衣の貸出,Yukata rental (Japanese traditional robe),Hotel,館内着や観光用の貸出案内に。,"浴衣の貸出, Yukata rental (Japanese traditional robe), yukata, robe, kimono, 寝巻き, 着物",TRUE
変換プラグの貸出,Travel adapter rental,Hotel,海外ゲストからの要望が多い備品。,"変換プラグの貸出, Travel adapter rental, adapter, plug, 変換, volt, voltage",TRUE
連泊中の清掃不要（エコ）,No cleaning needed (Eco-friendly stay),Hotel,清掃を辞退する場合のドアカードなどに。,"連泊中の清掃不要（エコ）, No cleaning needed (Eco-friendly stay), cleaning, clean, 掃除, eco, タオル, towel",TRUE
仲居さん,Ryokan staff / Room attendant,Hotel,旅館の給仕担当者。,"仲居さん, Ryokan staff / Room attendant",TRUE
布団敷きサービス,Futon-laying service,Hotel,夜に布団を準備するサービス。,"布団敷きサービス, Futon-laying service, futon, bed, 寝具, ベッド",TRUE
貸切風呂（家族風呂）,Private (family) bath reservation,Hotel,家族やカップルで貸切るお風呂。,"貸切風呂（家族風呂）, Private (family) bath reservation, bath, onsen, hot spring, spa, お湯, タトゥー, 入れ墨",TRUE
部屋食,In-room dining,Hotel,部屋で食事をいただくスタイル。,"部屋食, In-room dining, in-room dining, meal, 弁当, dinner",TRUE
モーニングコール設定,Wake-up call setup,Hotel,起床時間の予約に。,"モーニングコール設定, Wake-up call setup",TRUE
体調不良・救急車,Feeling unwell / Ambulance,Hotel,緊急時の連絡に。,"体調不良・救急車, Feeling unwell / Ambulance",TRUE
近隣のコンビニ案内,Directions to nearby convenience stores,Hotel,買い物場所の案内に。,"近隣のコンビニ案内, Directions to nearby convenience stores",TRUE
加湿器の貸出,Humidifier rental,Hotel,乾燥対策の備品案内に。,"加湿器の貸出, Humidifier rental",TRUE
